alt,asicstate,coeff,counts,emailtime,exttemp,flightstate,inttemp,lat,lon,pressure,settemp,setvolts,siphrastate,sipmtemp,time,volts
126.7,2,20.0,12.2,2018-07-05 07:49:37,23.5,2,24.38,31.77948,-95.71708,1005.0,20.0,-28.0,5,23.94,07:49:27,-28.078
202.3,2,20.0,12.2,2018-07-05 07:54:53,23.5,2,25.44,31.77925,-95.71741,1005.0,20.0,-28.0,5,24.75,07:54:29,-28.095
107.9,2,20.0,10.9,2018-07-05 08:01:08,23.5,2,26.56,31.77956,-95.71707,1005.0,20.0,-28.0,5,25.75,07:59:30,-28.115
172.1,2,20.0,11.0,2018-07-05 08:04:53,23.5,2,27.75,31.77939,-95.71747,1005.0,20.0,-28.0,5,26.81,08:04:31,-28.136
129.7,2,20.0,9.9,2018-07-05 08:14:53,23.44,2,29.94,31.77964,-95.71698,1006.0,20.0,-28.0,5,28.94,08:14:43,-28.179
146.4,2,20.0,12.8,2018-07-05 08:20:08,23.44,2,31.0,31.77966,-95.71704,1005.0,20.0,-28.0,5,29.94,08:19:45,-28.198
128.9,2,20.0,10.7,2018-07-05 08:25:07,23.38,2,31.88,31.77964,-95.71699,1005.0,20.0,-28.0,5,30.88,08:24:47,-28.219
132.4,2,20.0,12.2,2018-07-05 08:30:07,23.44,2,32.81,31.77963,-95.71698,1005.0,20.0,-28.0,5,31.88,08:29:56,-28.238
125.5,2,20.0,12.8,2018-07-05 08:35:38,23.38,2,33.69,31.77963,-95.71699,1006.0,20.0,-28.0,5,32.75,08:34:57,-28.255
126.5,2,20.0,12.9,2018-07-05 08:40:23,23.44,2,34.5,31.77963,-95.71698,1006.0,20.0,-28.0,5,33.62,08:40:02,-28.273
125.4,2,20.0,11.7,2018-07-05 08:46:23,23.38,2,35.31,31.77891,-95.71699,1006.0,20.0,-28.0,5,34.44,08:45:04,-28.289
116.8,2,20.0,10.8,2018-07-05 08:50:38,23.38,2,36.06,31.77968,-95.7202,1007.0,20.0,-28.0,5,35.25,08:50:12,-28.305
116.4,2,20.0,11.7,2018-07-05 08:55:38,23.38,2,36.81,31.78095,-95.72256,1007.0,20.0,-28.0,5,35.94,08:55:14,-28.319
119.0,2,20.0,9.1,2018-07-05 09:00:52,23.31,2,37.44,31.78044,-95.72225,1007.0,20.0,-28.0,5,36.69,09:00:16,-28.333
122.4,2,20.0,11.0,2018-07-05 09:05:53,23.25,2,38.06,31.78047,-95.72225,1007.0,20.0,-28.0,5,37.31,09:05:23,-28.346
121.8,2,20.0,11.7,2018-07-05 09:10:52,23.25,2,38.62,31.78045,-95.72225,1007.0,20.0,-28.0,5,37.94,09:10:26,-28.359
123.8,2,20.0,13.2,2018-07-05 09:15:53,23.19,2,39.19,31.78045,-95.72225,1007.0,20.0,-28.0,5,38.5,09:15:27,-28.371
111.5,2,20.0,13.6,2018-07-05 09:20:52,23.19,2,39.69,31.78046,-95.72227,1007.0,20.0,-28.0,5,39.12,09:20:31,-28.381
120.2,2,20.0,12.5,2018-07-05 09:25:53,23.12,2,40.19,31.78045,-95.72227,1007.0,20.0,-28.0,5,39.62,09:25:33,-28.393
118.8,2,20.0,12.6,2018-07-05 09:30:53,23.12,2,40.69,31.78044,-95.72226,1007.0,20.0,-28.0,5,40.19,09:30:35,-28.402
116.5,2,20.0,12.1,2018-07-05 09:35:52,23.12,2,41.12,31.78047,-95.72227,1007.0,20.0,-28.0,5,40.62,09:35:38,-28.412
119.3,2,20.0,12.9,2018-07-05 09:40:53,23.12,2,41.5,31.78045,-95.72227,1007.0,20.0,-28.0,5,41.06,09:40:40,-28.421
115.9,2,20.0,11.7,2018-07-05 09:46:07,23.12,2,41.94,31.78045,-95.72227,1007.0,20.0,-28.0,5,41.5,09:45:41,-28.43
121.3,2,20.0,13.8,2018-07-05 09:56:07,23.12,2,42.69,31.78046,-95.72226,1007.0,20.0,-28.0,5,42.31,09:55:48,-28.446
